record_id,sentence,gold_sentiment
0,"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",POSITIVE
1,"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",NEUTRAL
2,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,POSITIVE
3,"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",NEUTRAL
4,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",NEGATIVE
5,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,POSITIVE
6,Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,NEGATIVE
7,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",NEGATIVE
8,"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",NEUTRAL
9,"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .",NEUTRAL
10,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",POSITIVE
11,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .",NEUTRAL
12,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,NEUTRAL
13,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",NEGATIVE
14,"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",POSITIVE
15,The company says the measures are no longer needed .,NEUTRAL
16,Other details were not provided .,NEUTRAL
17,"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",POSITIVE
18,Talentum 's net sales in September were smaller than expected .,NEGATIVE
19,"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",NEGATIVE
20,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,NEUTRAL
21,"- Demand for fireplace products was lower than expected , especially in Germany .",NEGATIVE
22,"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .",NEUTRAL
23,"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",NEGATIVE
24,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 .",POSITIVE
25,"When cruising , the revs fall as less engine output is required .",NEUTRAL
26,"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",NEGATIVE
27,"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",NEUTRAL
28,This new partnership agreement represents a significant milestone for both parties .,POSITIVE
29,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",NEGATIVE
30,The Group also has a strong global position in other fishing categories .,POSITIVE
31,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,NEGATIVE
32,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",NEGATIVE
33,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",POSITIVE
34,Operating profit margin increased from 11.2 % to 11.7 % .,POSITIVE
35,"`` Adjustment to the fall in price level , in contrast , has been less effective .",NEGATIVE
